l_vel X,l_vel Y,l_vel Z,t
-0.21938909590244293,-0.5746086835861206,0.21824975311756134,33
-0.19304630160331726,-0.5976542234420776,0.15824073553085327,34
-0.16598939895629883,-0.6222274303436279,0.1123911589384079,35
-0.13775867223739624,-0.6501850485801697,0.091069296002388,36
-0.11188510060310364,-0.6776305437088013,0.07852640748023987,37
-0.09196527302265167,-0.6982555389404297,0.03605834022164345,38
-0.07521989941596985,-0.7259082794189453,0.044483866542577744,39
-0.062357284128665924,-0.7517039179801941,0.057733237743377686,40
-0.05549267679452896,-0.776516318321228,0.0751791000366211,41
-0.05489619821310043,-0.8015167713165283,0.11145849525928497,42
-0.05977856367826462,-0.8264867663383484,0.16783945262432098,43
-0.06868743151426315,-0.8489798307418823,0.2240646481513977,44
-0.08147486299276352,-0.867358922958374,0.25934094190597534,45
-0.09805867075920105,-0.885648787021637,0.3123399615287781,46
-0.11650551110506058,-0.9023078083992004,0.3598211109638214,47
-0.1356937140226364,-0.9181742668151855,0.39862188696861267,48
-0.15832479298114777,-0.9358330368995667,0.4557839632034302,49
-0.17612124979496002,-0.9503774046897888,0.4761357605457306,50
-0.194668710231781,-0.966610848903656,0.5051583051681519,51
-0.21104499697685242,-0.983155369758606,0.5227879881858826,52
-0.22553128004074097,-1.0013775825500488,0.542220413684845,53
-0.23366416990756989,-1.016700267791748,0.5177189111709595,54
-0.2438736855983734,-1.0362383127212524,0.5079878568649292,55
-0.2503264546394348,-1.0550960302352905,0.4856742322444916,56
-0.2507830262184143,-1.069917917251587,0.42543825507164,57
-0.25123023986816406,-1.085991621017456,0.3619649112224579,58
-0.24891415238380432,-1.10126531124115,0.28913718461990356,59
-0.24627284705638885,-1.1192387342453003,0.22251810133457184,60
-0.2412627935409546,-1.1381312608718872,0.15844154357910156,61
-0.23348984122276306,-1.1537411212921143,0.0736297070980072,62
-0.2251894623041153,-1.1739126443862915,0.007466115057468414,63
-0.21513238549232483,-1.186476707458496,-0.09488432109355927,64
-0.20527294278144836,-1.1994884014129639,-0.19350671768188477,65
-0.19537362456321716,-1.221174716949463,-0.2508481442928314,66
-0.18492551147937775,-1.2384941577911377,-0.3226419687271118,67
-0.17399214208126068,-1.2506314516067505,-0.4125664532184601,68
-0.16374415159225464,-1.2685260772705078,-0.467427134513855,69
-0.1539936661720276,-1.2876790761947632,-0.5057833194732666,70
-0.14462347328662872,-1.3014668226242065,-0.562099814414978,71
-0.13645313680171967,-1.318735957145691,-0.581261932849884,72
-0.13101674616336823,-1.3318637609481812,-0.6152811646461487,73
-0.12834712862968445,-1.3428832292556763,-0.6376581788063049,74
-0.12765559554100037,-1.351472020149231,-0.6444582939147949,75
-0.13027621805667877,-1.357489824295044,-0.6528603434562683,76
-0.13753075897693634,-1.361689567565918,-0.6321925520896912,77
-0.14648127555847168,-1.3609724044799805,-0.6233973503112793,78
-0.1582307666540146,-1.3574984073638916,-0.6137944459915161,79
-0.17367403209209442,-1.3510847091674805,-0.5874778032302856,80
-0.19355405867099762,-1.3414411544799805,-0.5324453711509705,81
-0.21523407101631165,-1.3286815881729126,-0.46897006034851074,82
-0.23757433891296387,-1.31429123878479,-0.4229869544506073,83
-0.2627352476119995,-1.2965755462646484,-0.35589975118637085,84
-0.28710129857063293,-1.2778828144073486,-0.30468377470970154,85
-0.3133133053779602,-1.2572211027145386,-0.24306537210941315,86
-0.3382474482059479,-1.2356563806533813,-0.18676327168941498,87
-0.36135774850845337,-1.2150154113769531,-0.14822591841220856,88
-0.3843807578086853,-1.194083333015442,-0.10830853879451752,89
-0.4091489613056183,-1.1722043752670288,-0.04723833501338959,90
-0.43029624223709106,-1.1520684957504272,0.005075869150459766,91
-0.4497048854827881,-1.1343047618865967,0.046328794211149216,92
-0.4645777940750122,-1.1191457509994507,0.05957605317234993,93
-0.4770570695400238,-1.105996012687683,0.0592072531580925,94
-0.49078527092933655,-1.09443199634552,0.08154469728469849,95
-0.5007363557815552,-1.0859379768371582,0.08245357871055603,96
-0.5097416639328003,-1.0797077417373657,0.08515171706676483,97
-0.518383264541626,-1.0765436887741089,0.09052284806966782,98
-0.5234122276306152,-1.0748283863067627,0.06368488818407059,99
-0.5283888578414917,-1.0744754076004028,0.036212824285030365,100
-0.5342285633087158,-1.0763188600540161,0.0344691276550293,101
