T1_change,T2_change,T3_change,T4_change,t
-0.00636611133813858,-0.002023078501224518,-0.00562720000743866,-0.005214020609855652,68
-0.000263165682554245,-0.0013416558504104614,-0.002133972942829132,0.004580393433570862,69
-0.0207846537232399,-0.002706475555896759,-0.01999429613351822,-0.010475687682628632,70
0.007959268987178802,0.005243413150310516,0.0038547366857528687,0.002430461347103119,71
0.02169804647564888,0.004350803792476654,0.023861989378929138,0.01116374135017395,72
0.019432909786701202,0.0006747618317604065,0.02820100635290146,0.0019816607236862183,73
-0.024821899831295013,0.001574341207742691,-0.0381990522146225,-0.004963267594575882,74
0.011709727346897125,0.0033550113439559937,0.015531674027442932,0.009968437254428864,75
-0.00027179718017578125,-0.00012055039405822754,0.004644416272640228,-0.00218258798122406,76
0.012793198227882385,0.0037506520748138428,0.009700305759906769,0.0024143755435943604,77
