l_vel X,l_vel Y,l_vel Z,t
-0.8940024375915527,-0.19886015355587006,0.3323160409927368,155
-0.8887321352958679,-0.20122118294239044,0.31346583366394043,156
-0.8815708160400391,-0.20343732833862305,0.31342944502830505,157
-0.8724684119224548,-0.20789074897766113,0.3199564814567566,158
-0.864372730255127,-0.21282203495502472,0.3269592523574829,159
-0.851471483707428,-0.2172888070344925,0.35779914259910583,160
-0.8395963311195374,-0.22294439375400543,0.3633987009525299,161
-0.8266491293907166,-0.22895334661006927,0.37618324160575867,162
-0.8109490871429443,-0.2357815057039261,0.4001671373844147,163
-0.796424925327301,-0.24289356172084808,0.4165484309196472,164
-0.7819164395332336,-0.2496519535779953,0.4220142364501953,165
-0.7684634923934937,-0.2577529549598694,0.41127917170524597,166
-0.7506780028343201,-0.2664993107318878,0.4385197162628174,167
-0.7343818545341492,-0.2748168706893921,0.4515173137187958,168
-0.7177389860153198,-0.28336000442504883,0.45453402400016785,169
-0.7001541256904602,-0.2941071093082428,0.4588826596736908,170
-0.681786298751831,-0.3042043447494507,0.4680047631263733,171
-0.6637374758720398,-0.31415390968322754,0.4565599262714386,172
-0.6459630727767944,-0.3247683048248291,0.4269900321960449,173
-0.6219108700752258,-0.33752551674842834,0.4291427433490753,174
-0.5980775356292725,-0.35054758191108704,0.41947677731513977,175
-0.5678248405456543,-0.36525437235832214,0.43593788146972656,176
-0.5361511707305908,-0.3792429268360138,0.4468960464000702,177
-0.5129820108413696,-0.39070409536361694,0.4023705720901489,178
-0.4884796738624573,-0.40273091197013855,0.35340774059295654,179
-0.46625661849975586,-0.41504302620887756,0.2891635298728943,180
-0.43925145268440247,-0.4289846122264862,0.24321803450584412,181
-0.39930298924446106,-0.4455568194389343,0.24570238590240479,182
-0.3618326187133789,-0.4601781666278839,0.2371664196252823,183
-0.3267132639884949,-0.47573044896125793,0.21765315532684326,184
-0.291761577129364,-0.48862460255622864,0.19887132942676544,185
